view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":14600},{""page_index"":1,""viewing_time"":3596}]",18196.0,instructions,0,2.1.0,18207,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":55630}]",55630.0,instructions,1,2.1.0,73840,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":2400}]",2400.0,instructions,2,2.1.0,76242,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,,,,,,,,,,,,,,,,,,,
,16773.0,survey-multi-choice,3,,93016,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,2256.0,fullscreen,4,2.1.0,96279,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":4344}]",4344.0,instructions,5,2.1.0,100625,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,117232,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Purple,def,,,,,,,
,,html-keyboard-response,7,2.0.0,128559,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Blue,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,154089,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":8}",3.0,8.0,10.0,5.0,SH,Purple,def,,,,,,,
,,html-keyboard-response,9,2.0.0,174226,wgp0l5dhfj,692638df063c96e069476515,693267f5733a607f80e9d98b,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Blue,coop,,,,,,,
