view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":6783},{""page_index"":1,""viewing_time"":128591}]",135375.0,instructions,0,2.1.0,135381,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":173070}]",173070.0,instructions,1,2.1.0,308454,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":6321}]",6321.0,instructions,2,2.1.0,314777,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,,,,,,,,,,,,,,,,,,,
,151970.0,survey-multi-choice,3,,466751,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,2407.0,fullscreen,4,2.1.0,470168,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":6701}]",6701.0,instructions,5,2.1.0,476870,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,492956,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Red,coop,,,,,,,
,,html-keyboard-response,7,2.0.0,512681,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":5}",7.0,5.0,10.0,5.0,HG,Red,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,522483,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":15}",10.0,15.0,10.0,5.0,SG,Red,coop,,,,,,,
,,html-keyboard-response,9,2.0.0,535326,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Red,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":2901}]",2901.0,instructions,10,2.1.0,538229,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,552283,jekrkcshas,693e609928541f4126f49c4b,693e69c6b6c65289ac3ddd6d,26,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":12}",10.0,12.0,10.0,5.0,SG,Purple,coop,E.B.,opt_inv,coop,7.0,1.0,14052.099999999627,
